ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030705,cytoskeleton-dependent intracellular transport,5/580,14/26731,0.35714285714285715,16.459975369458128,8.616845301052644,8.046570860198004e-6,0.018802576671263373,0.017152665642297983,Pastreoides56047/Pastreoides54529/Pastreoides14319/Pastreoides56045/Pastreoides21459,5
GO:0051219,phosphoprotein binding,7/580,39/26731,0.1794871794871795,8.272192749778958,6.768250945274464,1.838136890340362e-5,0.018802576671263373,0.017152665642297983,Pastreoides47300/Pastreoides63484/Pastreoides11694/Pastreoides06589/Pastreoides12605/Pastreoides42026/Pastreoides30916,7
GO:0030027,lamellipodium,14/580,174/26731,0.08045977011494253,3.708224336107808,5.33751464321649,2.8605970433279587e-5,0.018802576671263373,0.017152665642297983,Pastreoides56047/Pastreoides28482/Pastreoides11694/Pastreoides00774/Pastreoides21772/Pastreoides06589/Pastreoides36275/Pastreoides12605/Pastreoides07423/Pastreoides04681/Pastreoides21773/Pastreoides44399/Pastreoides56045/Pastreoides21459,14
GO:0032481,positive regulation of type I interferon production,5/580,18/26731,0.2777777777777778,12.802203065134101,7.459458961256385,3.204529471029122e-5,0.018802576671263373,0.017152665642297983,Pastreoides01198/Pastreoides42308/Pastreoides37281/Pastreoides22398/Pastreoides23302,5
GO:0099560,synaptic membrane adhesion,4/580,13/26731,0.3076923076923077,14.180901856763928,7.079199567271662,1.3420540684246524e-4,0.05075294304371761,0.04629941298002898,Pastreoides33661/Pastreoides13867/Pastreoides33662/Pastreoides40740,4
GO:0001726,ruffle,8/580,72/26731,0.1111111111111111,5.12088122605364,5.214392806150532,1.654488560522661e-4,0.05075294304371761,0.04629941298002898,Pastreoides12146/Pastreoides56047/Pastreoides28482/Pastreoides00774/Pastreoides12605/Pastreoides04453/Pastreoides56045/Pastreoides21459,8
GO:0021510,spinal cord development,7/580,55/26731,0.12727272727272726,5.8657366771159865,5.379462920457252,1.7974719505010648e-4,0.05075294304371761,0.04629941298002898,Pastreoides33661/Pastreoides31423/Pastreoides18684/Pastreoides11694/Pastreoides06589/Pastreoides33662/Pastreoides29925,7
GO:0019900,kinase binding,10/580,115/26731,0.08695652173913043,4.007646176911544,4.813639874668939,2.0765473056766728e-4,0.05075294304371761,0.04629941298002898,Pastreoides43807/Pastreoides36885/Pastreoides19769/Pastreoides38955/Pastreoides06373/Pastreoides46314/Pastreoides28146/Pastreoides19181/Pastreoides44399/Pastreoides39247,10
GO:0036464,cytoplasmic ribonucleoprotein granule,8/580,75/26731,0.10666666666666667,4.916045977011494,5.0576672094351025,2.203469678143341e-4,0.05075294304371761,0.04629941298002898,Pastreoides18921/Pastreoides12146/Pastreoides18174/Pastreoides20050/Pastreoides25330/Pastreoides10666/Pastreoides03282/Pastreoides33055,8
GO:0097381,photoreceptor disc membrane,4/580,15/26731,0.26666666666666666,12.290114942528735,6.513697733283877,2.475105828728374e-4,0.05075294304371761,0.04629941298002898,Pastreoides06373/Pastreoides40233/Pastreoides39247/Pastreoides53555,4
GO:0045070,positive regulation of viral genome replication,5/580,28/26731,0.17857142857142858,8.229987684729064,5.700407084269305,3.072433679926164e-4,0.05075294304371761,0.04629941298002898,Pastreoides19769/Pastreoides21772/Pastreoides21773/Pastreoides20277/Pastreoides43527,5
GO:0004697,diacylglycerol-dependent serine/threonine kinase activity,4/580,16/26731,0.25,11.52198275862069,6.269736856634202,3.243690437391411e-4,0.05075294304371761,0.04629941298002898,Pastreoides38955/Pastreoides23628/Pastreoides21772/Pastreoides40233,4
GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,4/580,16/26731,0.25,11.52198275862069,6.269736856634202,3.243690437391411e-4,0.05075294304371761,0.04629941298002898,Pastreoides33661/Pastreoides59907/Pastreoides13867/Pastreoides33662,4
GO:0048041,focal adhesion assembly,4/580,16/26731,0.25,11.52198275862069,6.269736856634202,3.243690437391411e-4,0.05075294304371761,0.04629941298002898,Pastreoides28482/Pastreoides12605/Pastreoides06078/Pastreoides44399,4
GO:0099151,regulation of postsynaptic density assembly,4/580,16/26731,0.25,11.52198275862069,6.269736856634202,3.243690437391411e-4,0.05075294304371761,0.04629941298002898,Pastreoides33661/Pastreoides13867/Pastreoides33662/Pastreoides40740,4
GO:0006338,chromatin remodeling,8/580,81/26731,0.09876543209876543,4.5518944231587914,4.767857609389013,3.7507530795479957e-4,0.05501885923561966,0.05019099844605673,Pastreoides01973/Pastreoides17711/Pastreoides41265/Pastreoides53136/Pastreoides03188/Pastreoides30916/Pastreoides17783/Pastreoides09114,8
GO:0050804,modulation of chemical synaptic transmission,10/580,128/26731,0.078125,3.6006196120689653,4.392237714809594,4.92164085211632e-4,0.06564491814366478,0.059884629203782735,Pastreoides33661/Pastreoides26870/Pastreoides23425/Pastreoides16129/Pastreoides13867/Pastreoides33662/Pastreoides15601/Pastreoides56942/Pastreoides14564/Pastreoides18441,10
GO:0035904,aorta development,5/580,31/26731,0.16129032258064516,7.433537263626251,5.3375795759935825,5.034548472884389e-4,0.06564491814366478,0.059884629203782735,Pastreoides11694/Pastreoides32571/Pastreoides06589/Pastreoides07332/Pastreoides17230,5
GO:0005547,"phosphatidylinositol-3,4,5-trisphosphate binding",6/580,48/26731,0.125,5.760991379310345,4.916658129432148,5.755321749985058e-4,0.07109336919586806,0.06485498304415295,Pastreoides13291/Pastreoides12146/Pastreoides56047/Pastreoides56045/Pastreoides21459/Pastreoides48157,6
GO:0071320,cellular response to cAMP,6/580,49/26731,0.12244897959183673,5.643420126671358,4.845026484400478,6.439621985497268e-4,0.07556896399981043,0.06893784799211285,Pastreoides44901/Pastreoides11694/Pastreoides06589/Pastreoides17788/Pastreoides31916/Pastreoides34455,6
GO:0071456,cellular response to hypoxia,8/580,89/26731,0.0898876404494382,4.14273537388609,4.4227127261950745,7.082844758774886e-4,0.0791592221373555,0.07221306385638154,Pastreoides09329/Pastreoides23628/Pastreoides44901/Pastreoides22899/Pastreoides28146/Pastreoides17788/Pastreoides31916/Pastreoides33047,8
GO:0044325,transmembrane transporter binding,9/580,113/26731,0.07964601769911504,3.6707201708880075,4.23690985180191,8.102735323569381e-4,0.08644145365644244,0.07885628539779962,Pastreoides01989/Pastreoides44901/Pastreoides11694/Pastreoides06589/Pastreoides12605/Pastreoides24421/Pastreoides10334/Pastreoides34455/Pastreoides15714,9
GO:0005102,signaling receptor binding,15/580,271/26731,0.055350553505535055,2.5509924926835477,3.82180696008739,9.264181682326901e-4,0.09453493221052711,0.08623956769726736,Pastreoides13756/Pastreoides23628/Pastreoides20275/Pastreoides11694/Pastreoides36140/Pastreoides06589/Pastreoides28146/Pastreoides13867/Pastreoides33662/Pastreoides22624/Pastreoides23988/Pastreoides50457/Pastreoides18441/Pastreoides02742/Pastreoides34455,15
GO:0004000,adenosine deaminase activity,3/580,10/26731,0.3,13.826379310344826,6.041531598924856,0.0010883182068150898,0.09824164736134676,0.08962102156525881,Pastreoides42633/Pastreoides42635/Pastreoides43527,3
GO:0061014,positive regulation of mRNA catabolic process,3/580,10/26731,0.3,13.826379310344826,6.041531598924856,0.0010883182068150898,0.09824164736134676,0.08962102156525881,Pastreoides42308/Pastreoides42639/Pastreoides21281,3
GO:2000145,regulation of cell motility,3/580,10/26731,0.3,13.826379310344826,6.041531598924856,0.0010883182068150898,0.09824164736134676,0.08962102156525881,Pastreoides21772/Pastreoides04453/Pastreoides21773,3
GO:0035335,peptidyl-tyrosine dephosphorylation,5/580,37/26731,0.13513513513513514,6.228098788443616,4.739223005667224,0.0011605997955958939,0.09855906261002982,0.08991058388034026,Pastreoides33661/Pastreoides13867/Pastreoides33662/Pastreoides23302/Pastreoides40740,5
GO:0071375,cellular response to peptide hormone stimulus,4/580,22/26731,0.18181818181818182,8.37962382445141,5.156868730251267,0.0011758217950919622,0.09855906261002982,0.08991058388034026,Pastreoides38955/Pastreoides32789/Pastreoides56942/Pastreoides30916,4
GO:0030507,spectrin binding,5/580,38/26731,0.13157894736842105,6.0642014519056255,4.6523609769707654,0.0013128869900833628,0.10281526990421821,0.09379331239664516,Pastreoides56047/Pastreoides50439/Pastreoides11667/Pastreoides56045/Pastreoides21459,5
GO:0060216,definitive hemopoiesis,4/580,23/26731,0.17391304347826086,8.015292353823089,5.012545576629476,0.0013991430270445223,0.10281526990421821,0.09379331239664516,Pastreoides26870/Pastreoides38414/Pastreoides15208/Pastreoides43527,4
GO:2000045,regulation of G1/S transition of mitotic cell cycle,4/580,23/26731,0.17391304347826086,8.015292353823089,5.012545576629476,0.0013991430270445223,0.10281526990421821,0.09379331239664516,Pastreoides64500/Pastreoides01588/Pastreoides30916/Pastreoides17783,4
GO:0001946,lymphangiogenesis,3/580,11/26731,0.2727272727272727,12.569435736677116,5.715570941714463,0.001472392020818343,0.10281526990421821,0.09379331239664516,Pastreoides11694/Pastreoides01779/Pastreoides06589,3
GO:0030838,positive regulation of actin filament polymerization,5/580,39/26731,0.1282051282051282,5.908709106984968,4.568549844122082,0.001479423936246488,0.10281526990421821,0.09379331239664516,Pastreoides13291/Pastreoides23628/Pastreoides28482/Pastreoides18152/Pastreoides07423,5
GO:0048699,generation of neurons,7/580,78/26731,0.08974358974358974,4.136096374889479,4.130788677591007,0.0015257085247187459,0.10281526990421821,0.09379331239664516,Pastreoides25719/Pastreoides38955/Pastreoides55775/Pastreoides41440/Pastreoides39783/Pastreoides41443/Pastreoides27403,7
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,15/580,287/26731,0.05226480836236934,2.408776883335336,3.573459929764219,0.0016362317215549843,0.10281526990421821,0.09379331239664516,Pastreoides38414/Pastreoides09329/Pastreoides19769/Pastreoides14102/Pastreoides19273/Pastreoides01779/Pastreoides41265/Pastreoides53136/Pastreoides33920/Pastreoides42638/Pastreoides33487/Pastreoides23542/Pastreoides13428/Pastreoides60863/Pastreoides39984,15
GO:0030593,neutrophil chemotaxis,4/580,24/26731,0.16666666666666666,7.681321839080459,4.876685916008838,0.0016504237293955802,0.10281526990421821,0.09379331239664516,Pastreoides37281/Pastreoides50457/Pastreoides44399/Pastreoides40233,4
GO:0050775,positive regulation of dendrite morphogenesis,5/580,40/26731,0.125,5.760991379310345,4.487601597274503,0.0016609961264102135,0.10281526990421821,0.09379331239664516,Pastreoides33661/Pastreoides13867/Pastreoides33662/Pastreoides56942/Pastreoides40740,5
GO:0018105,peptidyl-serine phosphorylation,10/580,150/26731,0.06666666666666667,3.0725287356321838,3.790791152847307,0.001664669900451765,0.10281526990421821,0.09379331239664516,Pastreoides22448/Pastreoides63484/Pastreoides23628/Pastreoides18152/Pastreoides21772/Pastreoides42026/Pastreoides31916/Pastreoides37281/Pastreoides03282/Pastreoides06753,10
GO:0005978,glycogen biosynthetic process,3/580,12/26731,0.25,11.52198275862069,5.429344943947986,0.0019316786929505676,0.11057682664280444,0.10087379875382425,Pastreoides50115/Pastreoides50146/Pastreoides03136,3
GO:0048671,negative regulation of collateral sprouting,3/580,12/26731,0.25,11.52198275862069,5.429344943947986,0.0019316786929505676,0.11057682664280444,0.10087379875382425,Pastreoides33661/Pastreoides41024/Pastreoides33662,3
GO:0071360,cellular response to exogenous dsRNA,3/580,12/26731,0.25,11.52198275862069,5.429344943947986,0.0019316786929505676,0.11057682664280444,0.10087379875382425,Pastreoides42308/Pastreoides47065/Pastreoides22398,3
GO:0045503,dynein light chain binding,3/580,13/26731,0.23076923076923078,10.635676392572945,5.1751296603174355,0.0024709206787829987,0.13807740078818329,0.12596121956502807,Pastreoides01966/Pastreoides54529/Pastreoides15546,3
GO:1904778,positive regulation of protein localization to cell cortex,5/580,44/26731,0.11363636363636363,5.237264890282132,4.189202950751927,0.0025535901557563537,0.13811920989567367,0.1259993599568543,Pastreoides58630/Pastreoides36885/Pastreoides46314/Pastreoides05953/Pastreoides19181,5
GO:0043484,regulation of RNA splicing,4/580,27/26731,0.14814814814814814,6.827841634738186,4.51201765161738,0.0025893673776777337,0.13811920989567367,0.1259993599568543,Pastreoides17711/Pastreoides42877/Pastreoides18246/Pastreoides25936,4
GO:0001965,G-protein alpha-subunit binding,6/580,65/26731,0.09230769230769231,4.254270557029178,3.912016912621779,0.0028424675804564863,0.14240509384708278,0.12990916102750041,Pastreoides58630/Pastreoides36885/Pastreoides44413/Pastreoides46314/Pastreoides19181/Pastreoides49797,6
GO:0030971,receptor tyrosine kinase binding,6/580,65/26731,0.09230769230769231,4.254270557029178,3.912016912621779,0.0028424675804564863,0.14240509384708278,0.12990916102750041,Pastreoides63719/Pastreoides33661/Pastreoides15124/Pastreoides17513/Pastreoides29925/Pastreoides40740,6
GO:0005874,microtubule,13/580,246/26731,0.052845528455284556,2.435541070927951,3.368623801762983,0.0029604563116742287,0.14240509384708278,0.12990916102750041,Pastreoides12146/Pastreoides52843/Pastreoides25325/Pastreoides11596/Pastreoides11595/Pastreoides54529/Pastreoides16129/Pastreoides50439/Pastreoides15546/Pastreoides34498/Pastreoides17513/Pastreoides33505/Pastreoides09984,13
GO:0004540,RNA nuclease activity,4/580,28/26731,0.14285714285714285,6.5839901477832505,4.40263778929334,0.0029697213792919124,0.14240509384708278,0.12990916102750041,Pastreoides20050/Pastreoides08918/Pastreoides08919/Pastreoides08926,4
GO:0002102,podosome,3/580,14/26731,0.21428571428571427,9.875985221674876,4.947161280780397,0.003094443879932348,0.14240509384708278,0.12990916102750041,Pastreoides28482/Pastreoides00774/Pastreoides23302,3
GO:0042267,natural killer cell mediated cytotoxicity,3/580,14/26731,0.21428571428571427,9.875985221674876,4.947161280780397,0.003094443879932348,0.14240509384708278,0.12990916102750041,Pastreoides11596/Pastreoides11595/Pastreoides27697,3
GO:0050730,regulation of peptidyl-tyrosine phosphorylation,3/580,14/26731,0.21428571428571427,9.875985221674876,4.947161280780397,0.003094443879932348,0.14240509384708278,0.12990916102750041,Pastreoides23628/Pastreoides42188/Pastreoides40233,3
GO:0071889,14-3-3 protein binding,4/580,29/26731,0.13793103448275862,6.356956004756242,4.2984760233920225,0.0033865288571106886,0.14595182175184393,0.13314466640201406,Pastreoides23628/Pastreoides24421/Pastreoides17788/Pastreoides21827,4
GO:1905606,regulation of presynapse assembly,4/580,29/26731,0.13793103448275862,6.356956004756242,4.2984760233920225,0.0033865288571106886,0.14595182175184393,0.13314466640201406,Pastreoides33661/Pastreoides13867/Pastreoides33662/Pastreoides40740,4
GO:0031100,animal organ regeneration,5/580,47/26731,0.10638297872340426,4.902971386647102,3.988303101078576,0.00342025998992391,0.14595182175184393,0.13314466640201406,Pastreoides63719/Pastreoides09298/Pastreoides18114/Pastreoides40371/Pastreoides20277,5
GO:0051661,maintenance of centrosome location,5/580,47/26731,0.10638297872340426,4.902971386647102,3.988303101078576,0.00342025998992391,0.14595182175184393,0.13314466640201406,Pastreoides58630/Pastreoides36885/Pastreoides46314/Pastreoides19181/Pastreoides34455,5
GO:0051965,positive regulation of synapse assembly,5/580,48/26731,0.10416666666666667,4.800826149425288,3.9250990596914486,0.003751042293985,0.15401892928018776,0.14050389171210814,Pastreoides33661/Pastreoides13867/Pastreoides33662/Pastreoides40233/Pastreoides21827,5
GO:0005001,transmembrane receptor protein tyrosine phosphatase activity,3/580,15/26731,0.2,9.217586206896552,4.741038768993975,0.0038061772041972264,0.15401892928018776,0.14050389171210814,Pastreoides33661/Pastreoides33662/Pastreoides40740,3
GO:0060002,plus-end directed microfilament motor activity,3/580,15/26731,0.2,9.217586206896552,4.741038768993975,0.0038061772041972264,0.15401892928018776,0.14050389171210814,Pastreoides56047/Pastreoides56045/Pastreoides21459,3
GO:0098685,Schaffer collateral - CA1 synapse,8/580,118/26731,0.06779661016949153,3.1246054938632377,3.444623123368883,0.004259442464288478,0.16943917735059422,0.15457102537667733,Pastreoides33661/Pastreoides26870/Pastreoides44901/Pastreoides08553/Pastreoides16129/Pastreoides13867/Pastreoides33662/Pastreoides03282,8
GO:0001892,embryonic placenta development,3/580,16/26731,0.1875,8.641487068965517,4.553335071427852,0.0046096713950721695,0.17172855181324415,0.15665950906561057,Pastreoides09329/Pastreoides11694/Pastreoides06589,3
GO:0002281,macrophage activation involved in immune response,3/580,16/26731,0.1875,8.641487068965517,4.553335071427852,0.0046096713950721695,0.17172855181324415,0.15665950906561057,Pastreoides23628/Pastreoides37281/Pastreoides22831,3
GO:0015271,outward rectifier potassium channel activity,3/580,16/26731,0.1875,8.641487068965517,4.553335071427852,0.0046096713950721695,0.17172855181324415,0.15665950906561057,Pastreoides11694/Pastreoides06589/Pastreoides04681,3
GO:0140640,"catalytic activity, acting on a nucleic acid",3/580,16/26731,0.1875,8.641487068965517,4.553335071427852,0.0046096713950721695,0.17172855181324415,0.15665950906561057,Pastreoides08925/Pastreoides08918/Pastreoides08926,3
GO:0005902,microvillus,6/580,72/26731,0.08333333333333333,3.8406609195402295,3.5944549359770175,0.00473643673912928,0.1723673461626703,0.15724224972299303,Pastreoides12146/Pastreoides22899/Pastreoides00774/Pastreoides11667/Pastreoides20277/Pastreoides33047,6
GO:0016604,nuclear body,12/580,231/26731,0.05194805194805195,2.394178235557546,3.169353468760981,0.004822987987056684,0.1723673461626703,0.15724224972299303,Pastreoides13756/Pastreoides09329/Pastreoides36851/Pastreoides01779/Pastreoides21772/Pastreoides00783/Pastreoides36275/Pastreoides04581/Pastreoides21773/Pastreoides06753/Pastreoides60863/Pastreoides17783,12
GO:0032956,regulation of actin cytoskeleton organization,5/580,51/26731,0.09803921568627451,4.5184246112238,3.7454995664091078,0.0048803721613425895,0.1723673461626703,0.15724224972299303,Pastreoides12146/Pastreoides38955/Pastreoides00774/Pastreoides06078/Pastreoides26872,5
GO:0032433,filopodium tip,4/580,33/26731,0.12121212121212122,5.586415882967607,3.9260910231339854,0.005449940067642718,0.1723673461626703,0.15724224972299303,Pastreoides56047/Pastreoides07423/Pastreoides56045/Pastreoides21459,4
GO:0043539,protein serine/threonine kinase activator activity,4/580,33/26731,0.12121212121212122,5.586415882967607,3.9260910231339854,0.005449940067642718,0.1723673461626703,0.15724224972299303,Pastreoides12146/Pastreoides15124/Pastreoides06078/Pastreoides26872,4
GO:0046627,negative regulation of insulin receptor signaling pathway,4/580,33/26731,0.12121212121212122,5.586415882967607,3.9260910231339854,0.005449940067642718,0.1723673461626703,0.15724224972299303,Pastreoides33661/Pastreoides40233/Pastreoides33613/Pastreoides40740,4
GO:0003146,heart jogging,3/580,17/26731,0.17647058823529413,8.133164300202841,4.381335929428705,0.005508117154750862,0.1723673461626703,0.15724224972299303,Pastreoides11694/Pastreoides06589/Pastreoides17834,3
GO:0003785,actin monomer binding,3/580,17/26731,0.17647058823529413,8.133164300202841,4.381335929428705,0.005508117154750862,0.1723673461626703,0.15724224972299303,Pastreoides21896/Pastreoides23628/Pastreoides21895,3
GO:0016071,mRNA metabolic process,3/580,17/26731,0.17647058823529413,8.133164300202841,4.381335929428705,0.005508117154750862,0.1723673461626703,0.15724224972299303,Pastreoides27697/Pastreoides43527/Pastreoides20678,3
GO:0016973,poly(A)+ mRNA export from nucleus,3/580,17/26731,0.17647058823529413,8.133164300202841,4.381335929428705,0.005508117154750862,0.1723673461626703,0.15724224972299303,Pastreoides41439/Pastreoides17890/Pastreoides04640,3
GO:0042288,MHC class I protein binding,3/580,17/26731,0.17647058823529413,8.133164300202841,4.381335929428705,0.005508117154750862,0.1723673461626703,0.15724224972299303,Pastreoides11596/Pastreoides11595/Pastreoides26332,3
GO:0043296,apical junction complex,3/580,17/26731,0.17647058823529413,8.133164300202841,4.381335929428705,0.005508117154750862,0.1723673461626703,0.15724224972299303,Pastreoides25719/Pastreoides21772/Pastreoides21773,3
GO:0030426,growth cone,8/580,124/26731,0.06451612903225806,2.9734149054505004,3.2802022165146174,0.00573177446113982,0.17542725404973972,0.160033653146086,Pastreoides33661/Pastreoides22448/Pastreoides31423/Pastreoides28482/Pastreoides00774/Pastreoides47397/Pastreoides29925/Pastreoides40740,8
GO:0060236,regulation of mitotic spindle organization,5/580,53/26731,0.09433962264150944,4.347918022121015,3.6333349939703816,0.005755389246625462,0.17542725404973972,0.160033653146086,Pastreoides58630/Pastreoides36885/Pastreoides46314/Pastreoides05953/Pastreoides19181,5
GO:0019901,protein kinase binding,19/580,459/26731,0.04139433551198257,1.9077792802944933,2.9215233840197525,0.005877169365173211,0.17684251923155803,0.16132472994281122,Pastreoides25712/Pastreoides12146/Pastreoides24637/Pastreoides23628/Pastreoides08553/Pastreoides24647/Pastreoides50115/Pastreoides24421/Pastreoides10666/Pastreoides31922/Pastreoides09753/Pastreoides05635/Pastreoides20634/Pastreoides37281/Pastreoides18246/Pastreoides21500/Pastreoides17230/Pastreoides26872/Pastreoides21827,19
GO:0045931,positive regulation of mitotic cell cycle,4/580,34/26731,0.11764705882352941,5.42210953346856,3.8424395977575245,0.006072395181017675,0.17814889362310604,0.16251647102881514,Pastreoides38414/Pastreoides21772/Pastreoides21773/Pastreoides40233,4
GO:0099738,cell cortex region,4/580,34/26731,0.11764705882352941,5.42210953346856,3.8424395977575245,0.006072395181017675,0.17814889362310604,0.16251647102881514,Pastreoides43807/Pastreoides17066/Pastreoides63660/Pastreoides05953,4
GO:0019903,protein phosphatase binding,7/580,101/26731,0.06930693069306931,3.1942130419938546,3.2902069967595184,0.006499170579120806,0.18616754859311493,0.16983149545372403,Pastreoides12146/Pastreoides63484/Pastreoides32789/Pastreoides44901/Pastreoides24647/Pastreoides54144/Pastreoides48157,7
GO:0070577,lysine-acetylated histone binding,3/580,18/26731,0.16666666666666666,7.681321839080459,4.222859561940645,0.006504362583994642,0.18616754859311493,0.16983149545372403,Pastreoides14575/Pastreoides17711/Pastreoides50457,3
GO:0050839,cell adhesion molecule binding,5/580,55/26731,0.09090909090909091,4.189811912225705,3.526593410973847,0.006735431010403186,0.18819114977876522,0.17167752725764512,Pastreoides33661/Pastreoides13867/Pastreoides33662/Pastreoides41444/Pastreoides40740,5
GO:0051050,positive regulation of transport,5/580,55/26731,0.09090909090909091,4.189811912225705,3.526593410973847,0.006735431010403186,0.18819114977876522,0.17167752725764512,Pastreoides38955/Pastreoides22688/Pastreoides31922/Pastreoides20750/Pastreoides01588,5
GO:0004725,protein tyrosine phosphatase activity,6/580,78/26731,0.07692307692307693,3.545225464190982,3.3525081096294262,0.006987111139424397,0.19292646875563602,0.1759973257905786,Pastreoides33661/Pastreoides13867/Pastreoides33662/Pastreoides14564/Pastreoides23302/Pastreoides40740,6
GO:0050776,regulation of immune response,4/580,36/26731,0.1111111111111111,5.12088122605364,3.6846455013533834,0.0074551800413916874,0.19367515573849978,0.17668031609091497,Pastreoides01777/Pastreoides20050/Pastreoides13867/Pastreoides22398,4
GO:0043565,sequence-specific DNA binding,9/580,157/26731,0.05732484076433121,2.6419833077092028,3.0729778117812923,0.007469553704073839,0.19367515573849978,0.17668031609091497,Pastreoides16442/Pastreoides01779/Pastreoides58863/Pastreoides04732/Pastreoides42638/Pastreoides33487/Pastreoides10279/Pastreoides59571/Pastreoides09423,9
GO:0048583,regulation of response to stimulus,9/580,157/26731,0.05732484076433121,2.6419833077092028,3.0729778117812923,0.007469553704073839,0.19367515573849978,0.17668031609091497,Pastreoides21256/Pastreoides51102/Pastreoides03773/Pastreoides61846/Pastreoides36140/Pastreoides14228/Pastreoides36636/Pastreoides41444/Pastreoides38731,9
GO:0002637,regulation of immunoglobulin production,3/580,19/26731,0.15789473684210525,7.277041742286752,4.076129187846396,0.007600929961528234,0.19367515573849978,0.17668031609091497,Pastreoides24647/Pastreoides21772/Pastreoides22398,3
GO:0043405,regulation of MAP kinase activity,3/580,19/26731,0.15789473684210525,7.277041742286752,4.076129187846396,0.007600929961528234,0.19367515573849978,0.17668031609091497,Pastreoides38955/Pastreoides59907/Pastreoides18246,3
GO:0070925,organelle assembly,3/580,19/26731,0.15789473684210525,7.277041742286752,4.076129187846396,0.007600929961528234,0.19367515573849978,0.17668031609091497,Pastreoides33920/Pastreoides22624/Pastreoides21936,3
GO:0071910,determination of liver left/right asymmetry,3/580,19/26731,0.15789473684210525,7.277041742286752,4.076129187846396,0.007600929961528234,0.19367515573849978,0.17668031609091497,Pastreoides11694/Pastreoides06589/Pastreoides17834,3
GO:0005525,GTP binding,18/580,438/26731,0.0410958904109589,1.8940245630609351,2.809543505070507,0.007747884627735351,0.19367515573849978,0.17668031609091497,Pastreoides20837/Pastreoides56079/Pastreoides13756/Pastreoides20813/Pastreoides11596/Pastreoides47065/Pastreoides11595/Pastreoides11981/Pastreoides16129/Pastreoides05953/Pastreoides05635/Pastreoides28842/Pastreoides31916/Pastreoides21281/Pastreoides22398/Pastreoides11979/Pastreoides41242/Pastreoides01601,18
GO:0016758,hexosyltransferase activity,5/580,57/26731,0.08771929824561403,4.042800967937084,3.424807973706383,0.007826613876741753,0.19367515573849978,0.17668031609091497,Pastreoides30165/Pastreoides50425/Pastreoides55515/Pastreoides47742/Pastreoides42900,5
GO:0097431,mitotic spindle pole,6/580,80/26731,0.075,3.4565948275862066,3.277110592585479,0.007885119909320422,0.19367515573849978,0.17668031609091497,Pastreoides58630/Pastreoides36885/Pastreoides46314/Pastreoides32571/Pastreoides19181/Pastreoides06753,6
GO:0005856,cytoskeleton,18/580,439/26731,0.04100227790432802,1.889710156311366,2.799228313795112,0.007921949276052824,0.19367515573849978,0.17668031609091497,Pastreoides55721/Pastreoides56047/Pastreoides27385/Pastreoides16246/Pastreoides61229/Pastreoides23425/Pastreoides46362/Pastreoides44066/Pastreoides36275/Pastreoides50439/Pastreoides21895/Pastreoides62366/Pastreoides34580/Pastreoides56045/Pastreoides48180/Pastreoides20750/Pastreoides17030/Pastreoides09984,18
GO:0051640,organelle localization,4/580,37/26731,0.10810810810810811,4.982479030754893,3.6100802616546517,0.00821815946512451,0.19624705842374698,0.17902653637741414,Pastreoides43807/Pastreoides17066/Pastreoides63660/Pastreoides31922,4
GO:0014823,response to activity,5/580,58/26731,0.08620689655172414,3.973097502972652,3.3756432474794105,0.008415747844334711,0.19624705842374698,0.17902653637741414,Pastreoides06373/Pastreoides31916/Pastreoides33505/Pastreoides39247/Pastreoides33613,5
GO:0071277,cellular response to calcium ion,5/580,58/26731,0.08620689655172414,3.973097502972652,3.3756432474794105,0.008415747844334711,0.19624705842374698,0.17902653637741414,Pastreoides12146/Pastreoides44413/Pastreoides11694/Pastreoides06589/Pastreoides24421,5
GO:0035556,intracellular signal transduction,13/580,280/26731,0.04642857142857143,2.1397967980295567,2.8553195987985047,0.008586426551237395,0.19624705842374698,0.17902653637741414,Pastreoides63719/Pastreoides25712/Pastreoides22448/Pastreoides38955/Pastreoides23628/Pastreoides39783/Pastreoides20591/Pastreoides21772/Pastreoides28842/Pastreoides03282/Pastreoides40233/Pastreoides58617/Pastreoides49797,13
GO:0006470,protein dephosphorylation,8/580,133/26731,0.06015037593984962,2.7722063780140003,3.0513002924755437,0.008628633137668327,0.19624705842374698,0.17902653637741414,Pastreoides33661/Pastreoides40741/Pastreoides01423/Pastreoides13867/Pastreoides33662/Pastreoides14564/Pastreoides23302/Pastreoides40740,8
GO:0043548,phosphatidylinositol 3-kinase binding,3/580,20/26731,0.15,6.913189655172413,3.939681004031218,0.00880003188493116,0.19624705842374698,0.17902653637741414,Pastreoides56941/Pastreoides56942/Pastreoides33613,3
GO:0070530,K63-linked polyubiquitin modification-dependent protein binding,3/580,20/26731,0.15,6.913189655172413,3.939681004031218,0.00880003188493116,0.19624705842374698,0.17902653637741414,Pastreoides16666/Pastreoides33420/Pastreoides58132,3
GO:1990023,mitotic spindle midzone,3/580,20/26731,0.15,6.913189655172413,3.939681004031218,0.00880003188493116,0.19624705842374698,0.17902653637741414,Pastreoides52843/Pastreoides28482/Pastreoides21279,3
